종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
캠시스,1392,15,-1.07%,500,439682,1028,130,-36.63,2.21,KOSDAQ
케이에스피,2830,15,0.53%,500,76639,1024,35,12.86,7.22,KOSDAQ
수젠텍,6170,30,-0.48%,500,21798,1024,250,-3.74,16.22,KOSDAQ
세코닉스,6920,50,0.73%,500,2135886,1024,62,20.17,-0.7,KOSDAQ
씨티케이,5290,70,-1.31%,500,10705,1023,-152,240.45,-10.94,KOSDAQ
다보링크,2390,80,3.46%,100,1625885,1022,-29,-32.74,-14.91,KOSDAQ
지니언스,10820,220,-1.99%,500,41119,1022,69,13.21,12.72,KOSDAQ
오하임앤컴퍼니,4800,190,4.12%,100,269754,1021,16,57.14,3.66,KOSDAQ
삼아제약,16030,150,-0.93%,1000,7696,1021,183,5.02,6.07,KOSDAQ
국일제지,800,0,0.00%,100,0,1021,-111,-4.35,-10.71,KOSDAQ
에이비온,5260,160,-2.95%,500,107488,1021,-252,-3.79,-57.95,KOSDAQ
오픈놀,10410,710,7.32%,100,3524345,1021,7,-157.73,-2.34,KOSDAQ
폴라리스세원,1874,6,0.32%,100,155422,1018,86,34.07,1.64,KOSDAQ
베뉴지,2110,5,-0.24%,500,15129,1017,113,11.85,-2.81,KOSDAQ
SV인베스트먼트,1910,7,0.37%,500,199763,1017,45,54.57,4.42,KOSDAQ
유신,33800,600,-1.74%,5000,42621,1014,209,4.33,8.35,KOSDAQ
소마젠,5260,50,0.96%,0,5189,1011,-15,-1753.33,-2.12,KOSDAQ
안국약품,7750,0,0.00%,500,23809,1011,97,22.08,3.1,KOSDAQ
이노메트리,10270,70,-0.68%,500,26995,1010,38,15.61,3.64,KOSDAQ
바이오솔루션,12400,210,1.72%,500,23188,1010,-53,-16.19,-8.69,KOSDAQ
상보,1701,0,0.00%,500,716269,1007,25,12.06,7.16,KOSDAQ
한송네오텍,1530,0,0.00%,100,0,1006,-112,-6.46,-26.88,KOSDAQ
라온시큐어,2600,135,5.48%,500,2997262,1005,43,13.54,10.99,KOSDAQ
팬엔터테인먼트,3630,40,-1.09%,500,38490,1005,9,106.76,-0.55,KOSDAQ
트윔,13550,700,5.45%,500,19512,1004,-65,-57.91,-6.9,KOSDAQ
광무,2095,0,0.00%,500,239772,1003,24,6.16,-6.14,KOSDAQ
인화정공,10750,10,0.09%,500,7374,1003,99,-13.22,-3.05,KOSDAQ
서남,4240,70,-1.62%,500,5441793,998,-24,-8.8,-10.76,KOSDAQ
EG,11550,50,0.43%,1000,20294,996,-86,-9.04,-7.52,KOSDAQ
제노레이,6830,10,0.15%,500,14336,994,149,7.77,13.52,KOSDAQ
모델솔루션,15510,30,0.19%,500,10481,992,97,30.77,11.21,KOSDAQ
모바일어플라이언스,3045,50,1.67%,500,617364,991,-7,138.41,2.76,KOSDAQ
유니크,5130,30,0.59%,500,33252,991,59,10.89,1.51,KOSDAQ
국순당,5550,50,0.91%,500,301523,991,91,-86.72,-1.75,KOSDAQ
바이오톡스텍,6200,20,-0.32%,500,15526,989,8,-100,1.4,KOSDAQ
인포뱅크,11360,110,0.98%,500,88945,988,-3,16.46,1.44,KOSDAQ
금강철강,5270,10,0.19%,500,10474,987,49,15.78,3.47,KOSDAQ
가온그룹,5810,100,-1.69%,500,82005,986,144,-5.24,2.71,KOSDAQ
알비더블유,3440,15,-0.43%,500,38073,985,28,-49.14,0.9,KOSDAQ
이엠코리아,2310,10,0.43%,500,73726,984,-23,-9.75,-5.32,KOSDAQ
바이젠셀,5130,100,1.99%,500,105075,983,-50,-5.61,-126.32,KOSDAQ
카이노스메드,3520,0,0.00%,500,95620,983,-162,-5.37,-39.32,KOSDAQ
유라테크,8530,110,1.31%,500,47113,983,-4,7.42,0.6,KOSDAQ
코텍,6300,60,-0.94%,500,40325,981,273,11.78,7.07,KOSDAQ
서호전기,19040,50,0.26%,500,1724,981,125,6.23,11.11,KOSDAQ
와이씨켐,9680,140,1.47%,1000,15899,979,53,115.24,4.21,KOSDAQ
시그네틱스,1137,2,-0.18%,500,284594,975,89,-39.21,4.01,KOSDAQ
삼양옵틱스,9600,30,-0.31%,500,10199,974,110,76.8,16.06,KOSDAQ
로보로보,4785,15,-0.31%,100,78675,974,-2,83.95,-1.11,KOSDAQ
아이씨에이치,5720,40,0.70%,500,82456,972,-76,-7.32,-9.34,KOSDAQ
에스텍,8900,150,1.71%,500,4601,971,87,4.3,3.78,KOSDAQ
나노엔텍,3615,5,0.14%,500,19434,969,44,-19.23,7.42,KOSDAQ
러셀,3045,15,0.50%,100,54733,969,45,74.27,5.07,KOSDAQ
하이텍팜,13660,20,-0.15%,500,1685,968,49,11.93,4.6,KOSDAQ
덕신하우징,2100,5,0.24%,100,230711,968,202,5.45,6.99,KOSDAQ
탑엔지니어링,5660,30,0.53%,500,485382,966,-285,-3.99,-7.53,KOSDAQ
위지트,865,15,-1.70%,500,2632040,966,22,8.08,8.65,KOSDAQ
NE능률,5840,10,0.17%,500,550552,965,68,-97.33,4.02,KOSDAQ
디바이스이엔지,13700,60,0.44%,500,2549,964,133,25.95,6.09,KOSDAQ
디스플레이텍,5150,40,-0.77%,500,36064,963,31,21.28,3.67,KOSDAQ
센코,2900,15,-0.51%,500,161079,957,28,-51.79,1.13,KOSDAQ
나이스디앤비,6210,70,1.14%,500,6378,956,155,7.02,13.58,KOSDAQ
한국선재,3995,215,-5.11%,500,672894,955,113,18.33,5.93,KOSDAQ
신신제약,6290,170,-2.63%,500,280266,954,54,19.47,3.7,KOSDAQ
