,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
827,코오롱티슈진,8960.0,240.0,+2.75%,0.0,104162.0,6514.0,-163.0,-54.63,-13.0,KOSDAQ
832,큐렉소,15650.0,160.0,-1.01%,500.0,865876.0,6410.0,11.0,355.68,-3.81,KOSDAQ
833,에코아이,64300.0,300.0,-0.46%,500.0,5802172.0,6351.0,200.0,29.29,21.66,KOSDAQ
834,브이티,17680.0,250.0,-1.39%,500.0,979860.0,6329.0,236.0,44.99,6.17,KOSDAQ
835,아난티,6880.0,70.0,+1.03%,100.0,502849.0,6299.0,1152.0,4.61,2.18,KOSDAQ
836,아이센스,22800.0,600.0,-2.56%,500.0,263829.0,6274.0,198.0,81.43,3.62,KOSDAQ
841,코미코,58900.0,500.0,+0.86%,500.0,78253.0,6161.0,554.0,18.78,10.99,KOSDAQ
843,씨앤씨인터내셔널,59400.0,1200.0,-1.98%,100.0,42501.0,5948.0,175.0,25.4,9.72,KOSDAQ
844,서울반도체,10040.0,170.0,+1.72%,500.0,1056163.0,5854.0,-334.0,-17.8,-3.88,KOSDAQ
848,네오위즈,26550.0,850.0,-3.10%,500.0,296449.0,5850.0,196.0,32.54,2.33,KOSDAQ
850,데브시스터즈,48300.0,300.0,+0.63%,500.0,52479.0,5789.0,-199.0,-20.17,-2.33,KOSDAQ
851,뷰노,48050.0,2050.0,+4.46%,100.0,2032535.0,5778.0,-154.0,-69.44,-44.13,KOSDAQ
852,피에스케이,19930.0,280.0,+1.42%,500.0,121688.0,5773.0,918.0,11.02,17.48,KOSDAQ
856,신라젠,5590.0,1285.0,+29.85%,500.0,4174884.0,5750.0,-245.0,-25.53,-21.2,KOSDAQ
857,젬백스,14320.0,110.0,-0.76%,500.0,39867.0,5727.0,-39.0,-23.17,-12.12,KOSDAQ
858,스마트솔루션즈,11600.0,0.0,0.00%,500.0,0.0,5630.0,17.0,-7.37,-110.38,KOSDAQ
